Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,age_group
2023/06/07 5:58:12 PM GMT+5:30,8,Other,once a month,Clothing and Fashion;others,Sometimes,Few times a month,categories,First page,1,Yes,Never,Found a better price elsewhere,Never,No,Occasionally,Sometimes,No,1,3,User-friendly website/app interface,reducing packaging waste,123738,18-24
2023/06/07 10:57:14 AM GMT+5:30,43,Other,multiple times a week,Home and Kitchen,No,Rarely,Keyword,First page,3,Yes,Rarely,High shipping costs,Always,No,Rarely,Sometimes,No,3,5,All the above,Unknown,885971,35-44
2023/06/04 7:13:12 PM GMT+5:30,43,Male,less than once a month,others,Yes,Multiple times a day,Filter,Multiple pages,4,No,Sometimes,Found a better price elsewhere,Always,No,Moderately,No,Yes,5,2,User-friendly website/app interface,customer service responsiveness,566930,35-44
2023/06/07 6:17:42 PM GMT+5:30,23,Male,once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,others,Multiple pages,2,Yes,Never,High shipping costs,Sometimes,Yes,Never,No,Sometimes,3,1,Wide product selection,quality of product is very poor according to the big offers,776650,18-24
2023/06/06 6:34:44 PM GMT+5:30,19,Female,less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,others,First page,2,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Heavily,No,No,3,2,All the above,Unknown,837776,18-24
2023/06/05 11:20:41 AM GMT+5:30,40,Female,once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Rarely,Filter,First page,2,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,Yes,3,3,Quick delivery,better app interface and lower shipping charges,269515,35-44
2023/06/05 9:56:02 PM GMT+5:30,9,Other,once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple pages,3,No,Never,others,Rarely,Yes,Never,Sometimes,Yes,3,4,.,no problems with amazon,705210,18-24
2023/06/09 2:34:43 PM GMT+5:30,60,Other,once a week,Clothing and Fashion;others,Sometimes,Multiple times a day,others,First page,4,No,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,No,No,3,3,All the above,reducing packaging waste,996742,55+
2023/06/07 4:46:12 PM GMT+5:30,18,Other,once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Filter,First page,4,Yes,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,Yes,Yes,5,5,Customer service,shipping speed and reliability,202745,18-24
2023/06/05 9:56:58 AM GMT+5:30,5,Male,once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Unknown,Multiple pages,3,Maybe,Always,High shipping costs,Rarely,Yes,Rarely,No,Yes,1,1,All the above,scrolling option would be much better than going to next page,956949,18-24
2023/06/06 7:19:43 PM GMT+5:30,29,Other,less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,others,First page,4,Maybe,Never,others,Often,Yes,Occasionally,No,Yes,4,4,.,User Interface,876679,25-34
2023/06/11 11:20:57 PM GMT+5:30,46,Other,few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Rarely,Keyword,First page,5,Maybe,Rarely,others,Often,Yes,Occasionally,Yes,Yes,3,2,Product recommendations,better app interface and lower shipping charges,838932,45-54
2023/06/06 7:46:27 PM GMT+5:30,58,Female,once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,2,Maybe,Never,Found a better price elsewhere,Always,No,Rarely,No,Sometimes,1,5,Quick delivery,i have no problem with amazon yet. but others tell me about the refund issues,451480,55+
2023/06/06 6:39:26 PM GMT+5:30,56,Other,less than once a month,Beauty and Personal Care,Sometimes,Multiple times a day,categories,First page,3,Maybe,Often,Changed my mind or no longer need the item,Always,No,Rarely,Sometimes,No,1,1,Competitive prices,scrolling option would be much better than going to next page,168831,55+
2023/06/06 7:40:11 PM GMT+5:30,59,Female,once a month,others,Sometimes,Rarely,Filter,First page,5,Yes,Rarely,Found a better price elsewhere,Always,Yes,Occasionally,Yes,Yes,3,3,Competitive prices,customer service responsiveness,637993,55+
2023/06/04 7:13:12 PM GMT+5:30,37,Male,few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,categories,Multiple pages,2,No,Often,High shipping costs,Always,Yes,Occasionally,Yes,Yes,1,3,Competitive prices,i have no problem with amazon yet. but others tell me about the refund issues,150709,35-44
2023/06/08 5:33:12 PM GMT+5:30,28,Other,once a week,others,Sometimes,Few times a month,Filter,First page,3,Maybe,Never,Found a better price elsewhere,Often,Yes,Never,Yes,Sometimes,2,1,Customer service,product quality and accuracy,928213,25-34
2023/06/06 6:37:19 PM GMT+5:30,8,Other,few times a month,others,Yes,Multiple times a day,Unknown,Multiple pages,3,No,Always,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,Yes,1,1,Quick delivery,i don't have any problem with amazon,896965,18-24
2023/06/08 5:46:49 PM GMT+5:30,34,Other,less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,5,Maybe,Rarely,others,Sometimes,Yes,Rarely,No,No,5,3,Wide product selection,i have no problem with amazon yet. but others tell me about the refund issues,556409,25-34
2023/06/11 11:02:55 PM GMT+5:30,19,Other,once a week,Groceries and Gourmet Food,Sometimes,Few times a month,Filter,First page,5,No,Always,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,No,2,3,Customer service,better app interface and lower shipping charges,946186,18-24
2023/06/07 4:46:12 PM GMT+5:30,30,Other,multiple times a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,First page,5,Yes,Never,others,Never,No,Occasionally,Yes,Sometimes,4,5,Quick delivery,better app interface and lower shipping charges,683291,25-34
2023/06/06 3:02:38 PM GMT+5:30,37,Male,multiple times a week,Home and Kitchen,No,Few times a month,Filter,Multiple pages,3,No,Never,Changed my mind or no longer need the item,Never,Yes,Never,Sometimes,Sometimes,1,3,Competitive prices,User Interface,364986,35-44
2023/06/06 7:22:31 PM GMT+5:30,15,Male,multiple times a week,Clothing and Fashion,Sometimes,Few times a week,others,Multiple pages,3,Yes,Rarely,Found a better price elsewhere,Always,Yes,Occasionally,Sometimes,Sometimes,3,4,User-friendly website/app interface,User Interface,785612,18-24
2023/06/07 9:32:38 AM GMT+5:30,64,Female,multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple times a day,others,Multiple pages,5,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Never,Sometimes,Yes,3,3,Customer service ,Unknown,970525,55+
2023/06/07 12:50:13 PM GMT+5:30,58,Male,once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,Unknown,First page,4,Yes,Rarely,Changed my mind or no longer need the item,Always,Yes,Rarely,Sometimes,Sometimes,2,4,Product recommendations,i have no problem with amazon yet. but others tell me about the refund issues,272690,55+
2023/06/11 11:22:19 PM GMT+5:30,50,Female,multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,First page,2,Yes,Rarely,Changed my mind or no longer need the item,Never,Yes,Never,Yes,Sometimes,4,5,Wide product selection,Unknown,861433,45-54
2023/06/08 5:16:17 PM GMT+5:30,5,Female,multiple times a week,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,categories,First page,5,No,Rarely,others,Rarely,No,Heavily,Sometimes,No,1,4,Wide product selection,reducing packaging waste,253557,18-24
2023/06/11 11:03:34 PM GMT+5:30,27,Male,less than once a month,others,No,Few times a week,categories,Multiple pages,3,Yes,Always,High shipping costs,Often,No,Never,No,Sometimes,1,1,All the above,User Interface,660454,25-34
2023/06/08 5:28:47 PM GMT+5:30,29,Female,less than once a month,Clothing and Fashion;others,Yes,Few times a month,Filter,First page,1,Maybe,Always,Changed my mind or no longer need the item,Often,No,Never,Sometimes,No,5,5,Customer service ,irrelevant product suggestions,276608,25-34
2023/06/11 11:22:55 PM GMT+5:30,46,Other,less than once a month,others,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Moderately,No,Sometimes,5,5,.,i have no problem with amazon yet. but others tell me about the refund issues,683635,45-54
2023/06/11 10:49:05 PM GMT+5:30,52,Other,once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,Unknown,First page,1,Maybe,Always,High shipping costs,Never,No,Occasionally,No,No,1,4,Customer service,scrolling option would be much better than going to next page,883728,45-54
2023/06/06 9:08:20 PM GMT+5:30,36,Female,less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,categories,Multiple pages,4,No,Never,Found a better price elsewhere,Sometimes,Yes,Moderately,Sometimes,Sometimes,2,2,Competitive prices,Unknown,991974,35-44
2023/06/07 10:10:26 PM GMT+5:30,64,Other,once a week,Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,Unknown,First page,5,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,Sometimes,3,1,Quick delivery,no problems with amazon,250348,55+
2023/06/12 3:33:53 PM GMT+5:30,47,Female,less than once a month,Beauty and Personal Care,Yes,Multiple times a day,others,Multiple pages,5,Yes,Sometimes,others,Never,Yes,Moderately,No,Yes,1,4,Product recommendations,Unknown,373880,45-54
2023/06/05 4:46:52 PM GMT+5:30,45,Other,less than once a month,Beauty and Personal Care,Sometimes,Multiple times a day,Unknown,Multiple pages,4,No,Rarely,High shipping costs,Always,Yes,Moderately,No,Sometimes,4,4,All the above,add more familiar brands to the list,439765,45-54
2023/06/12 3:45:27 PM GMT+5:30,18,Other,once a week,Groceries and Gourmet Food;Home and Kitchen,No,Rarely,others,Multiple pages,2,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Yes,Sometimes,5,5,Quick delivery,i have no problem with amazon yet. but others tell me about the refund issues,890836,18-24
2023/06/07 11:03:50 PM GMT+5:30,6,Female,less than once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Rarely,others,First page,4,Yes,Sometimes,others,Sometimes,Yes,Rarely,Yes,Sometimes,3,1,Customer service ,nothing,373037,18-24
2023/06/09 7:26:02 PM GMT+5:30,58,Other,once a month,Groceries and Gourmet Food,No,Rarely,Unknown,Multiple pages,2,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Rarely,No,No,3,3,Quick delivery,add more familiar brands to the list,515270,55+
2023/06/11 11:08:35 PM GMT+5:30,6,Other,less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Unknown,Multiple pages,1,Yes,Often,High shipping costs,Always,Yes,Rarely,Sometimes,Sometimes,4,5,User-friendly website/app interface,i have no problem with amazon yet. but others tell me about the refund issues,586526,18-24
2023/06/10 11:21:59 PM GMT+5:30,56,Other,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,Multiple pages,3,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,No,Sometimes,1,4,.,shipping speed and reliability,676047,55+
2023/06/12 3:59:59 PM GMT+5:30,12,Male,once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,categories,Multiple pages,3,Maybe,Often,High shipping costs,Never,Yes,Occasionally,Yes,Yes,3,3,Competitive prices,no problems with amazon,984496,18-24
2023/06/09 9:31:57 AM GMT+5:30,6,Male,multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Unknown,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Heavily,Yes,Yes,3,4,All the above,product quality and accuracy,225976,18-24
2023/06/12 3:38:48 PM GMT+5:30,20,Other,less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,Filter,First page,1,Yes,Rarely,others,Often,No,Never,No,Yes,4,5,Customer service,scrolling option would be much better than going to next page,203062,18-24
2023/06/05 2:28:10 PM GMT+5:30,66,Other,once a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Filter,Multiple pages,1,Maybe,Often,others,Sometimes,No,Occasionally,Yes,Yes,4,5,All the above,i don't have any problem with amazon,800248,55+
2023/06/07 6:29:53 PM GMT+5:30,37,Other,few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a month,Unknown,Multiple pages,4,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,Sometimes,3,3,Wide product selection,User Interface,832869,35-44
2023/06/06 11:49:21 AM GMT+5:30,59,Other,less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,categories,Multiple pages,3,No,Rarely,High shipping costs,Rarely,Yes,Occasionally,Sometimes,Sometimes,2,4,Customer service,i have no problem with amazon yet. but others tell me about the refund issues,985385,55+
2023/06/11 10:52:47 PM GMT+5:30,62,Male,once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Filter,First page,1,No,Often,others,Never,No,Heavily,Yes,Yes,1,3,Competitive prices,add more familiar brands to the list,925814,55+
2023/06/09 8:10:05 AM GMT+5:30,46,Other,once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Keyword,Multiple pages,5,Yes,Never,Found a better price elsewhere,Rarely,Yes,Moderately,Sometimes,Yes,4,5,User-friendly website/app interface,Unknown,510424,45-54
2023/06/08 5:11:27 PM GMT+5:30,63,Other,once a month,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,5,No,Always,Found a better price elsewhere,Often,No,Moderately,Yes,Yes,5,1,Customer service,irrelevant product suggestions,303719,55+
2023/06/11 11:02:55 PM GMT+5:30,27,Male,few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Unknown,First page,2,No,Rarely,Found a better price elsewhere,Sometimes,No,Moderately,No,No,2,4,Product recommendations,product quality and accuracy,339797,25-34
2023/06/06 6:46:21 PM GMT+5:30,37,Other,once a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple times a day,Filter,First page,4,Maybe,Never,High shipping costs,Rarely,No,Never,Yes,Sometimes,5,4,Wide product selection,i have no problem with amazon yet. but others tell me about the refund issues,380939,35-44
2023/06/09 3:10:36 PM GMT+5:30,32,Female,once a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,1,Maybe,Always,High shipping costs,Always,Yes,Heavily,Yes,Sometimes,3,1,Customer service ,nothing,744158,25-34
2023/06/08 5:23:05 PM GMT+5:30,58,Other,few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,categories,First page,4,Maybe,Rarely,Found a better price elsewhere,Never,No,Moderately,Sometimes,Sometimes,3,2,All the above,i don't have any problem with amazon,644781,55+
2023/06/04 7:45:33 PM GMT+5:30,7,Other,once a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,categories,Multiple pages,5,Yes,Rarely,High shipping costs,Always,No,Occasionally,No,No,3,1,Product recommendations,i have no problem with amazon yet. but others tell me about the refund issues,119216,18-24
2023/06/08 5:17:10 PM GMT+5:30,37,Female,few times a month,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Unknown,First page,1,No,Rarely,others,Sometimes,No,Moderately,No,Sometimes,5,1,Competitive prices,irrelevant product suggestions,565729,35-44
2023/06/06 4:46:25 PM GMT+5:30,29,Other,once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,others,First page,1,Yes,Never,others,Rarely,No,Moderately,No,No,2,1,All the above,product quality and accuracy,427641,25-34
2023/06/08 5:43:45 PM GMT+5:30,25,Male,few times a month,Clothing and Fashion;others,No,Rarely,categories,First page,3,No,Always,High shipping costs,Rarely,No,Rarely,No,No,3,3,Wide product selection,scrolling option would be much better than going to next page,297515,25-34
2023/06/12 3:27:59 PM GMT+5:30,44,Other,few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Rarely,categories,Multiple pages,4,No,Never,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,Sometimes,1,1,Competitive prices,shipping speed and reliability,720366,35-44
2023/06/12 4:03:59 PM GMT+5:30,24,Male,once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Rarely,categories,First page,5,Maybe,Often,others,Rarely,No,Heavily,No,Sometimes,2,5,All the above,shipping speed and reliability,372403,18-24
2023/06/07 9:32:38 AM GMT+5:30,43,Female,once a week,Home and Kitchen;others,No,Multiple times a day,Filter,Multiple pages,4,No,Sometimes,High shipping costs,Never,Yes,Never,No,Sometimes,5,4,All the above,customer service responsiveness,242483,35-44
2023/06/07 11:10:09 PM GMT+5:30,3,Other,less than once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Rarely,categories,First page,5,Maybe,Always,High shipping costs,Sometimes,Yes,Occasionally,No,No,3,1,Customer service ,User Interface,338389,18-24
2023/06/07 2:19:05 PM GMT+5:30,45,Male,few times a month,others,No,Few times a week,Filter,First page,3,Maybe,Always,others,Always,Yes,Heavily,No,No,3,4,.,reducing packaging waste,214786,45-54
2023/06/11 11:16:58 PM GMT+5:30,50,Female,few times a month,others,No,Multiple times a day,others,First page,1,Yes,Never,High shipping costs,Always,No,Occasionally,Sometimes,No,5,3,Customer service ,User Interface,903980,45-54
2023/06/08 5:16:17 PM GMT+5:30,21,Other,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Multiple times a day,Unknown,First page,3,No,Always,High shipping costs,Rarely,Yes,Rarely,Sometimes,Yes,3,3,.,irrelevant product suggestions,474482,18-24
2023/06/05 3:28:01 PM GMT+5:30,65,Other,multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Filter,Multiple pages,5,No,Sometimes,others,Always,No,Moderately,Sometimes,Sometimes,2,4,Wide product selection,shipping speed and reliability,320600,55+
2023/06/06 7:42:13 PM GMT+5:30,3,Other,once a week,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Rarely,Keyword,Multiple pages,3,No,Rarely,others,Always,Yes,Moderately,No,Yes,5,1,All the above,shipping speed and reliability,221456,18-24
2023/06/12 2:51:24 PM GMT+5:30,56,Other,once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,1,Maybe,Always,High shipping costs,Never,Yes,Heavily,Yes,Sometimes,1,2,Customer service ,add more familiar brands to the list,325265,55+
2023/06/11 9:15:38 PM GMT+5:30,36,Other,less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,categories,First page,2,Maybe,Rarely,Changed my mind or no longer need the item,Often,No,Rarely,No,No,5,3,Product recommendations,scrolling option would be much better than going to next page,296652,35-44
2023/06/07 9:54:56 PM GMT+5:30,32,Female,few times a month,others,Yes,Few times a month,Filter,First page,2,Maybe,Rarely,Changed my mind or no longer need the item,Always,Yes,Moderately,Yes,Sometimes,1,2,All the above,i have no problem with amazon yet. but others tell me about the refund issues,846303,25-34
2023/06/07 6:16:51 PM GMT+5:30,4,Other,multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,No,Multiple times a day,categories,First page,3,Maybe,Never,Found a better price elsewhere,Rarely,Yes,Heavily,No,Sometimes,5,5,Customer service ,add more familiar brands to the list,381632,18-24
2023/06/12 4:02:02 PM GMT+5:30,25,Female,few times a month,Clothing and Fashion;others,Yes,Few times a month,Unknown,First page,5,Yes,Always,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,Sometimes,No,2,1,Quick delivery,i don't have any problem with amazon,350347,25-34
2023/06/06 6:38:45 PM GMT+5:30,17,Male,less than once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,others,Multiple pages,4,Maybe,Never,Found a better price elsewhere,Sometimes,Yes,Never,Sometimes,No,3,1,User-friendly website/app interface,i don't have any problem with amazon,468143,18-24
2023/06/07 12:13:39 PM GMT+5:30,30,Other,less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,categories,First page,2,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Never,No,Yes,3,5,All the above,nothing,702163,25-34
2023/06/09 2:34:43 PM GMT+5:30,12,Other,few times a month,Beauty and Personal Care;others,No,Rarely,Unknown,First page,5,Maybe,Rarely,High shipping costs,Often,No,Occasionally,Yes,No,2,1,All the above,User Interface,905673,18-24
2023/06/07 10:11:28 PM GMT+5:30,43,Other,less than once a month,Groceries and Gourmet Food;Clothing and Fashion,No,Rarely,Keyword,First page,2,Maybe,Often,others,Always,Yes,Never,Sometimes,No,2,2,Quick delivery,Unknown,279680,35-44
2023/06/07 6:18:37 PM GMT+5:30,57,Other,multiple times a week,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,No,Never,Changed my mind or no longer need the item,Always,Yes,Never,Sometimes,Yes,1,1,Customer service ,shipping speed and reliability,247500,55+
