Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/07 9:32:38 AM GMT+5:30,64,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple times a day,others,Multiple pages,5,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Never,Sometimes,1,Yes,3,3,Customer service ,.,970525
2023/06/07 12:50:13 PM GMT+5:30,58,Male,Once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,nan,First page,4,Yes,Rarely,Changed my mind or no longer need the item,Always,Yes,Rarely,Sometimes,2,Sometimes,2,4,Product recommendations,I have no problem with Amazon yet. But others tell me about the refund issues ,272690
2023/06/11 11:22:19 PM GMT+5:30,50,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,First page,2,Yes,Rarely,Changed my mind or no longer need the item,Never,Yes,Never,Yes,1,Sometimes,4,5,Wide product selection,.,861433
2023/06/08 5:16:17 PM GMT+5:30,5,Female,Multiple times a week,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,categories,First page,5,No,Rarely,others,Rarely,No,Heavily,Sometimes,3,No,1,4,Wide product selection,Reducing packaging waste,253557
2023/06/11 11:03:34 PM GMT+5:30,27,Male,Less than once a month,others,No,Few times a week,categories,Multiple pages,3,Yes,Always,High shipping costs,Often,No,Never,No,1,Sometimes,1,1,All the above,User interface of app,660454
2023/06/08 5:28:47 PM GMT+5:30,29,Female,Less than once a month,Clothing and Fashion;others,Yes,Few times a month,Filter,First page,1,Maybe,Always,Changed my mind or no longer need the item,Often,No,Never,Sometimes,1,No,5,5,Customer service ,Irrelevant product suggestions,276608
2023/06/11 11:22:55 PM GMT+5:30,46,Prefer not to say,Less than once a month,others,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,Yes,Moderately,No,1,Sometimes,5,5,.,I have no problem with Amazon yet. But others tell me about the refund issues ,683635
2023/06/11 10:49:05 PM GMT+5:30,52,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,nan,First page,1,Maybe,Always,High shipping costs,Never,No,Occasionally,No,4,No,1,4,Customer service,Scrolling option would be much better than going to next page,883728
2023/06/06 9:08:20 PM GMT+5:30,36,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Rarely,categories,Multiple pages,4,No,Never,Found a better price elsewhere,Sometimes,Yes,Moderately,Sometimes,2,Sometimes,2,2,Competitive prices,.,991974
2023/06/07 10:10:26 PM GMT+5:30,64,Others,Once a week,Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,nan,First page,5,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,5,Sometimes,3,1,Quick delivery,No problems with Amazon,250348
2023/06/12 3:33:53 PM GMT+5:30,47,Female,Less than once a month,Beauty and Personal Care,Yes,Multiple times a day,others,Multiple pages,5,Yes,Sometimes,others,Never,Yes,Moderately,No,2,Yes,1,4,Product recommendations,.,373880
2023/06/05 4:46:52 PM GMT+5:30,45,Prefer not to say,Less than once a month,Beauty and Personal Care,Sometimes,Multiple times a day,nan,Multiple pages,4,No,Rarely,High shipping costs,Always,Yes,Moderately,No,3,Sometimes,4,4,All the above,Add more familiar brands to the list,439765
2023/06/12 3:45:27 PM GMT+5:30,18,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen,No,Rarely,others,Multiple pages,2,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Yes,5,Sometimes,5,5,Quick delivery,I have no problem with Amazon yet. But others tell me about the refund issues ,890836
2023/06/07 11:03:50 PM GMT+5:30,6,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Rarely,others,First page,4,Yes,Sometimes,others,Sometimes,Yes,Rarely,Yes,5,Sometimes,3,1,Customer service ,Nothing,373037
2023/06/09 7:26:02 PM GMT+5:30,58,Prefer not to say,Once a month,Groceries and Gourmet Food,No,Rarely,nan,Multiple pages,2,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Rarely,No,5,No,3,3,Quick delivery,Add more familiar brands to the list,515270
2023/06/11 11:08:35 PM GMT+5:30,6,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,nan,Multiple pages,1,Yes,Often,High shipping costs,Always,Yes,Rarely,Sometimes,5,Sometimes,4,5,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,586526
2023/06/10 11:21:59 PM GMT+5:30,56,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,Multiple pages,3,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,No,2,Sometimes,1,4,.,Shipping speed and reliability,676047
2023/06/12 3:59:59 PM GMT+5:30,12,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,categories,Multiple pages,3,Maybe,Often,High shipping costs,Never,Yes,Occasionally,Yes,5,Yes,3,3,Competitive prices,No problems with Amazon,984496
2023/06/09 9:31:57 AM GMT+5:30,6,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,nan,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Heavily,Yes,3,Yes,3,4,All the above,Product quality and accuracy,225976
2023/06/12 3:38:48 PM GMT+5:30,20,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,Filter,First page,1,Yes,Rarely,others,Often,No,Never,No,2,Yes,4,5,Customer service,Scrolling option would be much better than going to next page,203062
2023/06/05 2:28:10 PM GMT+5:30,66,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Filter,Multiple pages,1,Maybe,Often,others,Sometimes,No,Occasionally,Yes,4,Yes,4,5,All the above,I don't have any problem with Amazon,800248
2023/06/07 6:29:53 PM GMT+5:30,37,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a month,nan,Multiple pages,4,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,3,Sometimes,3,3,Wide product selection,User interface of app,832869
2023/06/06 11:49:21 AM GMT+5:30,59,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,categories,Multiple pages,3,No,Rarely,High shipping costs,Rarely,Yes,Occasionally,Sometimes,1,Sometimes,2,4,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,985385
2023/06/11 10:52:47 PM GMT+5:30,62,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Filter,First page,1,No,Often,others,Never,No,Heavily,Yes,1,Yes,1,3,Competitive prices,Add more familiar brands to the list,925814
2023/06/09 8:10:05 AM GMT+5:30,46,Prefer not to say,Once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Keyword,Multiple pages,5,Yes,Never,Found a better price elsewhere,Rarely,Yes,Moderately,Sometimes,3,Yes,4,5,User-friendly website/app interface,.,510424
2023/06/08 5:11:27 PM GMT+5:30,63,Prefer not to say,Once a month,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,5,No,Always,Found a better price elsewhere,Often,No,Moderately,Yes,5,Yes,5,1,Customer service,Irrelevant product suggestions,303719
2023/06/11 11:02:55 PM GMT+5:30,27,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,nan,First page,2,No,Rarely,Found a better price elsewhere,Sometimes,No,Moderately,No,4,No,2,4,Product recommendations,Product quality and accuracy,339797
2023/06/06 6:46:21 PM GMT+5:30,37,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple times a day,Filter,First page,4,Maybe,Never,High shipping costs,Rarely,No,Never,Yes,3,Sometimes,5,4,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,380939
2023/06/09 3:10:36 PM GMT+5:30,32,Female,Once a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,1,Maybe,Always,High shipping costs,Always,Yes,Heavily,Yes,5,Sometimes,3,1,Customer service ,Nothing,744158
2023/06/08 5:23:05 PM GMT+5:30,58,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,categories,First page,4,Maybe,Rarely,Found a better price elsewhere,Never,No,Moderately,Sometimes,1,Sometimes,3,2,All the above,I don't have any problem with Amazon,644781
2023/06/04 7:45:33 PM GMT+5:30,7,Others,Once a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,categories,Multiple pages,5,Yes,Rarely,High shipping costs,Always,No,Occasionally,No,1,No,3,1,Product recommendations,I have no problem with Amazon yet. But others tell me about the refund issues ,119216
2023/06/08 5:17:10 PM GMT+5:30,37,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,nan,First page,1,No,Rarely,others,Sometimes,No,Moderately,No,4,Sometimes,5,1,Competitive prices,Irrelevant product suggestions,565729
2023/06/06 4:46:25 PM GMT+5:30,29,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,others,First page,1,Yes,Never,others,Rarely,No,Moderately,No,1,No,2,1,All the above,Product quality and accuracy,427641
2023/06/08 5:43:45 PM GMT+5:30,25,Male,Few times a month,Clothing and Fashion;others,No,Rarely,categories,First page,3,No,Always,High shipping costs,Rarely,No,Rarely,No,3,No,3,3,Wide product selection,Scrolling option would be much better than going to next page,297515
2023/06/12 3:27:59 PM GMT+5:30,44,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Rarely,categories,Multiple pages,4,No,Never,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,4,Sometimes,1,1,Competitive prices,Shipping speed and reliability,720366
2023/06/12 4:03:59 PM GMT+5:30,24,Male,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Rarely,categories,First page,5,Maybe,Often,others,Rarely,No,Heavily,No,1,Sometimes,2,5,All the above,Shipping speed and reliability,372403
2023/06/07 9:32:38 AM GMT+5:30,43,Female,Once a week,Home and Kitchen;others,No,Multiple times a day,Filter,Multiple pages,4,No,Sometimes,High shipping costs,Never,Yes,Never,No,2,Sometimes,5,4,All the above,Customer service responsiveness,242483
2023/06/07 11:10:09 PM GMT+5:30,3,Prefer not to say,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Rarely,categories,First page,5,Maybe,Always,High shipping costs,Sometimes,Yes,Occasionally,No,3,No,3,1,Customer service ,User interface of app,338389
2023/06/07 2:19:05 PM GMT+5:30,45,Male,Few times a month,others,No,Few times a week,Filter,First page,3,Maybe,Always,others,Always,Yes,Heavily,No,3,No,3,4,.,Reducing packaging waste,214786
2023/06/11 11:16:58 PM GMT+5:30,50,Female,Few times a month,others,No,Multiple times a day,others,First page,1,Yes,Never,High shipping costs,Always,No,Occasionally,Sometimes,1,No,5,3,Customer service ,User interface ,903980
2023/06/08 5:16:17 PM GMT+5:30,21,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Multiple times a day,nan,First page,3,No,Always,High shipping costs,Rarely,Yes,Rarely,Sometimes,5,Yes,3,3,.,Irrelevant product suggestions,474482
2023/06/05 3:28:01 PM GMT+5:30,65,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Filter,Multiple pages,5,No,Sometimes,others,Always,No,Moderately,Sometimes,4,Sometimes,2,4,Wide product selection,Shipping speed and reliability,320600
2023/06/06 7:42:13 PM GMT+5:30,3,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Rarely,Keyword,Multiple pages,3,No,Rarely,others,Always,Yes,Moderately,No,5,Yes,5,1,All the above,Shipping speed and reliability,221456
2023/06/12 2:51:24 PM GMT+5:30,56,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,1,Maybe,Always,High shipping costs,Never,Yes,Heavily,Yes,5,Sometimes,1,2,Customer service ,Add more familiar brands to the list,325265
2023/06/11 9:15:38 PM GMT+5:30,36,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,categories,First page,2,Maybe,Rarely,Changed my mind or no longer need the item,Often,No,Rarely,No,1,No,5,3,Product recommendations,Scrolling option would be much better than going to next page,296652
2023/06/07 9:54:56 PM GMT+5:30,32,Female,Few times a month,others,Yes,Few times a month,Filter,First page,2,Maybe,Rarely,Changed my mind or no longer need the item,Always,Yes,Moderately,Yes,1,Sometimes,1,2,All the above,I have no problem with Amazon yet. But others tell me about the refund issues ,846303
2023/06/07 6:16:51 PM GMT+5:30,4,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,No,Multiple times a day,categories,First page,3,Maybe,Never,Found a better price elsewhere,Rarely,Yes,Heavily,No,5,Sometimes,5,5,Customer service ,Add more familiar brands to the list,381632
2023/06/12 4:02:02 PM GMT+5:30,25,Female,Few times a month,Clothing and Fashion;others,Yes,Few times a month,nan,First page,5,Yes,Always,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,Sometimes,3,No,2,1,Quick delivery,I don't have any problem with Amazon,350347
2023/06/06 6:38:45 PM GMT+5:30,17,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,others,Multiple pages,4,Maybe,Never,Found a better price elsewhere,Sometimes,Yes,Never,Sometimes,1,No,3,1,User-friendly website/app interface,I don't have any problem with Amazon,468143
2023/06/07 12:13:39 PM GMT+5:30,30,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,categories,First page,2,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Never,No,2,Yes,3,5,All the above,Nothing,702163
2023/06/09 2:34:43 PM GMT+5:30,12,Prefer not to say,Few times a month,Beauty and Personal Care;others,No,Rarely,nan,First page,5,Maybe,Rarely,High shipping costs,Often,No,Occasionally,Yes,3,No,2,1,All the above,User interface of app,905673
2023/06/07 10:11:28 PM GMT+5:30,43,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,No,Rarely,Keyword,First page,2,Maybe,Often,others,Always,Yes,Never,Sometimes,1,No,2,2,Quick delivery,.,279680
